Well Name,Depth,Marker
F06-1,589.14,FS11
F06-1,670.54,MFS10
F06-1,697.12,MFS9
F06-1,725.25,MFS8
F06-1,771.24,FS8
F06-1,866.29,FS7
F06-1,995.97,Truncation 1
F06-1,1015.24,Lower Low Sonic
F06-1,1030.08,FS6
F06-1,1049.63,MFS4
F06-1,1077.92,FS4
F06-1,1114.22,FS 3
F06-1,1151.2,FS2
F06-1,1170.07,MFS 2
F06-1,1225.53,FS1
F06-1,1261.34,NMRF (Mid_Mio_Unc)
F02-1,30,Seasurface
F02-1,553.6,MFS11
F02-1,612.9,FS11
F02-1,683.31,MFS10
F02-1,716.65,MFS9
F02-1,748.49,MFS8
F02-1,795.18,FS8
F02-1,927.28,FS7
F02-1,1025.42,Truncation 1
F02-1,1048.84,Lower Low Sonic
F02-1,1057.89,FS6
F02-1,1068.74,MFS4
F02-1,1094.12,FS4
F02-1,1134.73,FS 3
F02-1,1174.62,FS2
F02-1,1197.08,MFS 2
F02-1,1252.26,FS1
F02-1,1285.09,NMRF (Mid_Mio_Unc)
F02-1,1695,CKGR
F02-1,1872,SGKI
F02-1,2636,SLCU
F02-1,2735,SLCMU
F02-1,2997.5,SLCMS
F02-1,3028,SLCML
F02-1,3150,SLCL
F03-4,30,Seasurface
F03-4,479.74,MFS11
F03-4,510.52,FS11
F03-4,547.75,MFS10
F03-4,547.75,MFS9
F03-4,547.75,MFS8
F03-4,569.66,FS8
F03-4,611.39,FS7
F03-4,664.95,Truncation 1
F03-4,697.11,Top Foresets
F03-4,856.08,FS6
F03-4,907.88,MFS4
F03-4,946.5,FS4
F03-4,1024.39,FS 3
F03-4,1071.12,FS2
F03-4,1111.13,MFS 2
F03-4,1200.93,FS1
F03-4,1246,NMRF (Mid_Mio_Unc)
F03-4,1359,NLFF
F03-4,1785,NLLFC (Base Tertiary)
F03-4,1858,CKEK
F03-4,1970,CKGR
F03-4,2375,SGKI
F03-4,2736,SLCU
F03-4,2806,SLCMU
F03-4,2885,SLCMS
F03-4,2923,SLCML
F03-4,2980,SLCL
F03-4,2277,KNGL
F03-4,2295,KNNCK
F03-4,2317,KNNCM
F03-4,2330,SGKIC
F03-4,2362,SGGS
F03-4,3092,RNKPU
F03-4,3111,RNKPD
F03-4,3130,RNKPR
F03-2,30,Seasurface
F03-2,486.14,MFS11
F03-2,522.2,FS11
F03-2,564.4,MFS10
F03-2,564.4,MFS9
F03-2,564.4,MFS8
F03-2,589.92,FS8
F03-2,610.9,FS7
F03-2,676.43,Truncation 1
F03-2,715.02,Top Foresets
F03-2,835.93,FS6
F03-2,890.32,MFS4
F03-2,957.29,FS4
F03-2,1036.94,FS 3
F03-2,1073.3,FS2
F03-2,1111.79,MFS 2
F03-2,1249.72,NMRF (Mid_Mio_Unc)
F03-2,1647,CK
F03-2,1932,ZE
F03-2,1885,KN

